,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
83251,83251,83251,"[,]",2020-05-11 19:44:57+00:00,“Si vos cumplís con la cuarentena quédate tranquilo” creo que no entendió muy bien el sentido de la cuarentena,cumpl cuarentena date tranquilo creo entendi bien sentido cuarentena,"['cumpl', 'cuarentena', 'date', 'tranquilo', 'creo', 'entendi', 'bien', 'sentido', 'cuarentena']","['cumpl', 'cuarenten', 'dat', 'tranquil', 'cre', 'entendi', 'bien', 'sent', 'cuarenten']"
83274,83274,83274,"[,]",2020-05-11 19:46:19+00:00,la cuarentena me está volviendo demasiado maricona,cuarentena volviendo demasiado maricona,"['cuarentena', 'volviendo', 'demasiado', 'maricona']","['cuarenten', 'volv', 'demasi', 'maricon']"
83317,83317,83317,"[,]",2020-05-11 19:48:19+00:00,@garbarino Altos hdp... Como no van a consultar un número x MD? En una red social! Les afecta la cuarentena,Altos Como consultar mero social afecta cuarentena,"['altos', 'como', 'consultar', 'mero', 'social', 'afecta', 'cuarentena']","['altos', 'com', 'consult', 'mer', 'social', 'afect', 'cuarenten']"
83320,83320,83320,"[,]",2020-05-11 19:48:25+00:00,Dale cuarentena del orto que me quiero sacar el registroooo,Dale cuarentena orto quiero sacar registroooo,"['dale', 'cuarentena', 'orto', 'quiero', 'sacar', 'registroooo']","['dal', 'cuarenten', 'orto', 'quier', 'sac', 'registrooo']"
83368,83368,83368,"[,]",2020-05-11 19:51:05+00:00,Dale alegría a tu cuerpo en cuarentena,Dale alegr cuerpo cuarentena,"['dale', 'alegr', 'cuerpo', 'cuarentena']","['dal', 'alegr', 'cuerp', 'cuarenten']"
83385,83385,83385,"[,]",2020-05-11 19:52:03+00:00,"@Edith1891 Quien puede ser hincha de la cuarentena? Pagarte para q estés encerrado sin ver a nadie, no entiendo quien puede preferir esto",Quien puede hincha cuarentena Pagarte para encerrado nadie entiendo quien puede preferir esto,"['quien', 'puede', 'hincha', 'cuarentena', 'pagarte', 'para', 'encerrado', 'nadie', 'entiendo', 'quien', 'puede', 'preferir', 'esto']","['qui', 'pued', 'hinch', 'cuarenten', 'pagart', 'par', 'encerr', 'nadi', 'entiend', 'qui', 'pued', 'prefer', 'esto']"
83465,83465,83465,"[,]",2020-05-11 19:56:35+00:00,@martinalejandro Dame 3 meses más de Cuarentena y seguro me convierta en Bot (?),Dame meses Cuarentena seguro convierta,"['dame', 'meses', 'cuarentena', 'seguro', 'convierta']","['dam', 'mes', 'cuarenten', 'segur', 'conviert']"
83477,83477,83477,"[,]",2020-05-11 19:56:56+00:00,Me duele el costado del cuello  la concha de la cuarentena puta,duele costado cuello concha cuarentena puta,"['duele', 'costado', 'cuello', 'concha', 'cuarentena', 'puta']","['duel', 'cost', 'cuell', 'conch', 'cuarenten', 'put']"
83510,83510,83510,"[,]",2020-05-11 19:58:38+00:00,Me sorprende la cantidad de gente a la q le chupa un huevo estar en cuarentena y se junta igual con sus amigos ajsjsjaja,sorprende cantidad gente chupa huevo estar cuarentena junta igual amigos ajsjsjaja,"['sorprende', 'cantidad', 'gente', 'chupa', 'huevo', 'estar', 'cuarentena', 'junta', 'igual', 'amigos', 'ajsjsjaja']","['sorprend', 'cantid', 'gent', 'chup', 'huev', 'estar', 'cuarenten', 'junt', 'igual', 'amig', 'ajsjsjaj']"
83740,83740,83740,"[,]",2020-05-11 20:10:05+00:00,Me gusta ver como la gente se va rescatando que la cuarentena es un chiste y no sirve para nada.,gusta como gente rescatando cuarentena chiste sirve para nada,"['gusta', 'como', 'gente', 'rescatando', 'cuarentena', 'chiste', 'sirve', 'para', 'nada']","['gust', 'com', 'gent', 'rescat', 'cuarenten', 'chist', 'sirv', 'par', 'nad']"
83849,83849,83849,"[,]",2020-05-11 20:15:13+00:00,Ya fue la cuarentena no?,cuarentena,['cuarentena'],['cuarenten']
