,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
30,30,30,"[,]",2020-05-07 17:57:44+00:00,Mi mood más recurrente de cuarentena es HARTA.  A una extensión de sacar turno para tatuarme dicha palabra post cuarentena.,mood recurrente cuarentena HARTA extensi sacar turno para tatuarme dicha palabra post cuarentena,"['mood', 'recurrente', 'cuarentena', 'harta', 'extensi', 'sacar', 'turno', 'para', 'tatuarme', 'dicha', 'palabra', 'post', 'cuarentena']","['mood', 'recurrent', 'cuarenten', 'hart', 'extensi', 'sac', 'turn', 'par', 'tatu', 'dich', 'palabr', 'post', 'cuarenten']"
129,129,129,"[,]",2020-05-07 18:03:09+00:00,@luchocastellani Es la cuarentena,cuarentena,['cuarentena'],['cuarenten']
173,173,173,"[,]",2020-05-07 18:04:54+00:00,"@jok_ase Seeee, lo mejor de la cuarentena!",Seeee mejor cuarentena,"['seeee', 'mejor', 'cuarentena']","['seee', 'mejor', 'cuarenten']"
289,289,289,"[,]",2020-05-07 18:10:37+00:00,@julianyosovitch La cuarentena se termino cuando ya no hubo más formas de calmar el hambre.,cuarentena termino cuando hubo formas calmar hambre,"['cuarentena', 'termino', 'cuando', 'hubo', 'formas', 'calmar', 'hambre']","['cuarenten', 'termin', 'cuand', 'hub', 'form', 'calm', 'hambr']"
363,363,363,"[,]",2020-05-07 18:14:13+00:00,Yo antes y después de la cuarentena,antes despu cuarentena,"['antes', 'despu', 'cuarentena']","['antes', 'despu', 'cuarenten']"
416,416,416,"[,]",2020-05-07 18:16:05+00:00,"Palermo es un circo 🎪, ¿la cuarentena no era obligatoria hasta el 10/5?",Palermo circo cuarentena obligatoria hasta,"['palermo', 'circo', 'cuarentena', 'obligatoria', 'hasta']","['palerm', 'circ', 'cuarenten', 'obligatori', 'hast']"
462,462,462,"[,]",2020-05-07 18:18:21+00:00,"Llagas y fiebre, que hermosa combinación para esta cuarentena",Llagas fiebre hermosa combinaci para esta cuarentena,"['llagas', 'fiebre', 'hermosa', 'combinaci', 'para', 'esta', 'cuarentena']","['llag', 'fiebr', 'hermos', 'combinaci', 'par', 'esta', 'cuarenten']"
477,477,477,"[,]",2020-05-07 18:19:15+00:00,"Amo amo el color rojo que me quedó en el pelo para no poder lucirlo, maldita cuarentena 🙄😭",color rojo qued pelo para poder lucirlo maldita cuarentena,"['color', 'rojo', 'qued', 'pelo', 'para', 'poder', 'lucirlo', 'maldita', 'cuarentena']","['color', 'roj', 'qued', 'pel', 'par', 'pod', 'luc', 'maldit', 'cuarenten']"
481,481,481,"[,]",2020-05-07 18:19:28+00:00,Esta tratando de salir y romper la cuarentena... Se llama muela de juicio. Quedate ahi.,Esta tratando salir romper cuarentena llama muela juicio Quedate,"['esta', 'tratando', 'salir', 'romper', 'cuarentena', 'llama', 'muela', 'juicio', 'quedate']","['esta', 'trat', 'sal', 'romp', 'cuarenten', 'llam', 'muel', 'juici', 'quedat']"
487,487,487,"[,]",2020-05-07 18:19:47+00:00,Desde que empezó la cuarentena ayer tuve mi primer crisis y no pare de llorar en toda la noche.,Desde empez cuarentena ayer tuve primer crisis pare llorar toda noche,"['desde', 'empez', 'cuarentena', 'ayer', 'tuve', 'primer', 'crisis', 'pare', 'llorar', 'toda', 'noche']","['desd', 'empez', 'cuarenten', 'ayer', 'tuv', 'prim', 'crisis', 'par', 'llor', 'tod', 'noch']"
585,585,585,"[,]",2020-05-07 18:24:27+00:00,No aguanto más el barbijo prefiero que me agarre el corona,aguanto barbijo prefiero agarre corona,"['aguanto', 'barbijo', 'prefiero', 'agarre', 'corona']","['aguant', 'barbij', 'prefier', 'agarr', 'coron']"
652,652,652,"[,]",2020-05-07 18:27:24+00:00,@juanromero42 @CMonteroOficial Traeme la partida de nacimiento del virus 🤣😂🤣🤣😂🤣😂 Tenía pasaporte cuando entró en usa!!?,Traeme partida nacimiento virus pasaporte cuando entr,"['traeme', 'partida', 'nacimiento', 'virus', 'pasaporte', 'cuando', 'entr']","['traem', 'part', 'nacimient', 'virus', 'pasaport', 'cuand', 'entr']"
691,691,691,"[,]",2020-05-07 18:29:27+00:00,día 75 de cuarentena mí mamá no se cansa de hacer budín de pan 🤮,cuarentena cansa hacer,"['cuarentena', 'cansa', 'hacer']","['cuarenten', 'cans', 'hac']"
708,708,708,"[,]",2020-05-07 18:30:27+00:00,@adiospipino Y cuánto te pensas que va a durar está cuarentena 🙃😳🤷🏼‍♂️. Jajajjajaja,pensas durar cuarentena Jajajjajaja,"['pensas', 'durar', 'cuarentena', 'jajajjajaja']","['pens', 'dur', 'cuarenten', 'jajajjajaj']"
790,790,790,"[,]",2020-05-07 18:34:54+00:00,"Ahi va, tantas salidas rompiendo la cuarentena da en eso",tantas salidas rompiendo cuarentena,"['tantas', 'salidas', 'rompiendo', 'cuarentena']","['tant', 'sal', 'romp', 'cuarenten']"
861,861,861,"[,]",2020-05-07 18:38:26+00:00,Yendo a buscar a mi mejor amigo para hacer algo despues de la cuarentena,Yendo buscar mejor amigo para hacer algo despues cuarentena,"['yendo', 'buscar', 'mejor', 'amigo', 'para', 'hacer', 'algo', 'despues', 'cuarentena']","['yend', 'busc', 'mejor', 'amig', 'par', 'hac', 'algo', 'despu', 'cuarenten']"
892,892,892,"[,]",2020-05-07 18:39:44+00:00,Día 60 de cuarentena ya no tengo ganas de nada,cuarentena tengo ganas nada,"['cuarentena', 'tengo', 'ganas', 'nada']","['cuarenten', 'teng', 'gan', 'nad']"
966,966,966,"[,]",2020-05-07 18:46:12+00:00,"Mi hígado me odia, que necesidad de volver a joder en la cuarentena.  Otra vez todos esos síntomas de mierda",gado odia necesidad volver joder cuarentena Otra todos esos ntomas mierda,"['gado', 'odia', 'necesidad', 'volver', 'joder', 'cuarentena', 'otra', 'todos', 'esos', 'ntomas', 'mierda']","['gad', 'odi', 'neces', 'volv', 'jod', 'cuarenten', 'otra', 'tod', 'esos', 'ntom', 'mierd']"
980,980,980,"[,]",2020-05-07 18:47:04+00:00,"Algo positivo de esta cuarentena, ya vamos 31 días de ejercicio x YouTube y baje 2 kgs, ahora hay que mantener....",Algo positivo esta cuarentena vamos ejercicio YouTube baje ahora mantener,"['algo', 'positivo', 'esta', 'cuarentena', 'vamos', 'ejercicio', 'youtube', 'baje', 'ahora', 'mantener']","['algo', 'posit', 'esta', 'cuarenten', 'vam', 'ejercici', 'youtub', 'baj', 'ahor', 'manten']"
1034,1034,1034,"[,]",2020-05-07 18:49:39+00:00,Es todo risas y muy linda la cuarentena hasta que te depositan la mitad del sueldo. 🤔,todo risas linda cuarentena hasta depositan mitad sueldo,"['todo', 'risas', 'linda', 'cuarentena', 'hasta', 'depositan', 'mitad', 'sueldo']","['tod', 'ris', 'lind', 'cuarenten', 'hast', 'deposit', 'mit', 'sueld']"
1177,1177,1177,"[,]",2020-05-07 18:55:56+00:00,@gracielaazul23 La cuarentena te está pegando mal 😁,cuarentena pegando,"['cuarentena', 'pegando']","['cuarenten', 'peg']"
1227,1227,1227,"[,]",2020-05-07 18:57:56+00:00,De lo mejor que lei en esta cuarentena.  Sobre todo porque estan calladitos estos días.,mejor esta cuarentena Sobre todo porque estan calladitos estos,"['mejor', 'esta', 'cuarentena', 'sobre', 'todo', 'porque', 'estan', 'calladitos', 'estos']","['mejor', 'esta', 'cuarenten', 'sobr', 'tod', 'porqu', 'estan', 'calladit', 'estos']"
1255,1255,1255,"[,]",2020-05-07 18:59:41+00:00,"Bueno después de dos meses de cuarentena, no pude aguantar más.  Y Me pedí delivery de Starbucks...  Perdón.",Bueno despu meses cuarentena pude aguantar delivery Starbucks Perd,"['bueno', 'despu', 'meses', 'cuarentena', 'pude', 'aguantar', 'delivery', 'starbucks', 'perd']","['buen', 'despu', 'mes', 'cuarenten', 'pud', 'aguant', 'delivery', 'starbucks', 'perd']"
1269,1269,1269,"[,]",2020-05-07 19:00:29+00:00,Esta cuarentena hubiera sido una excelente oportunidad para aprender a jugar al truco si tuviera con quien jugarrr,Esta cuarentena hubiera sido excelente oportunidad para aprender jugar truco tuviera quien jugarrr,"['esta', 'cuarentena', 'hubiera', 'sido', 'excelente', 'oportunidad', 'para', 'aprender', 'jugar', 'truco', 'tuviera', 'quien', 'jugarrr']","['esta', 'cuarenten', 'hub', 'sid', 'excelent', 'oportun', 'par', 'aprend', 'jug', 'truc', 'tuv', 'qui', 'jugarrr']"
1327,1327,1327,"[,]",2020-05-07 19:02:44+00:00,"@ladymarketok Por suerte si dejar de tener sexo, hay maneras de no transmitir el virus",suerte dejar tener sexo maneras transmitir virus,"['suerte', 'dejar', 'tener', 'sexo', 'maneras', 'transmitir', 'virus']","['suert', 'dej', 'ten', 'sex', 'maner', 'transmit', 'virus']"
1413,1413,1413,"[,]",2020-05-07 19:07:35+00:00,Este video de @nacho_fer98 durante la cuarentena podría ser apócrifo,Este video durante cuarentena podr crifo,"['este', 'video', 'durante', 'cuarentena', 'podr', 'crifo']","['este', 'vide', 'durant', 'cuarenten', 'podr', 'crif']"
1436,1436,1436,"[,]",2020-05-07 19:09:30+00:00,El ABL se te paso de controlar o lo que va para la corona vale,paso controlar para corona vale,"['paso', 'controlar', 'para', 'corona', 'vale']","['pas', 'control', 'par', 'coron', 'val']"
1665,1665,1665,"[,]",2020-05-07 19:21:17+00:00,Mi libreta de apuntes la cuarentena la transformó en recetario 🤷🏻‍♀️,libreta apuntes cuarentena transform recetario,"['libreta', 'apuntes', 'cuarentena', 'transform', 'recetario']","['libret', 'apunt', 'cuarenten', 'transform', 'recetari']"
1678,1678,1678,"[,]",2020-05-07 19:21:54+00:00,Cuarentena semana 6 Desbloqueé un nivel de viejismo entrecaseril:  pulover ADENTRO del jogging,Cuarentena semana Desbloque nivel viejismo entrecaseril pulover ADENTRO jogging,"['cuarentena', 'semana', 'desbloque', 'nivel', 'viejismo', 'entrecaseril', 'pulover', 'adentro', 'jogging']","['cuarenten', 'seman', 'desbloqu', 'nivel', 'viejism', 'entrecaseril', 'pulov', 'adentr', 'jogging']"
1696,1696,1696,"[,]",2020-05-07 19:23:15+00:00,"Lamentable y paradójico, en cuarentena y con escasísimo movimiento. En fin...",Lamentable parad jico cuarentena escas simo movimiento,"['lamentable', 'parad', 'jico', 'cuarentena', 'escas', 'simo', 'movimiento']","['lament', 'par', 'jic', 'cuarenten', 'escas', 'sim', 'movimient']"
1703,1703,1703,"[,]",2020-05-07 19:23:45+00:00,"@mercedesmoranb La cuarentena fue un exito, cuando fue lo de los jubilados no había llegado el virus a las clases bajas, no nos apresuremos",cuarentena exito cuando jubilados llegado virus clases bajas apresuremos,"['cuarentena', 'exito', 'cuando', 'jubilados', 'llegado', 'virus', 'clases', 'bajas', 'apresuremos']","['cuarenten', 'exit', 'cuand', 'jubil', 'lleg', 'virus', 'clas', 'baj', 'apresur']"
1799,1799,1799,"[,]",2020-05-07 19:28:09+00:00,@ropadme vos con Emilita post cuarentena 🤣,Emilita post cuarentena,"['emilita', 'post', 'cuarentena']","['emilit', 'post', 'cuarenten']"
2112,2112,2112,"[,]",2020-05-07 19:45:20+00:00,"Si extrañas a alguien, le escribís? Porque ya cumplí una cuarentena sin hacerlo",extra alguien escrib Porque cumpl cuarentena hacerlo,"['extra', 'alguien', 'escrib', 'porque', 'cumpl', 'cuarentena', 'hacerlo']","['extra', 'algui', 'escrib', 'porqu', 'cumpl', 'cuarenten', 'hac']"
2176,2176,2176,"[,]",2020-05-07 19:48:45+00:00,"@grazioligoyo Explicame como haces, no me estaria saliendo en tiempos de cuarentena  (y sin cuarentena tampoco je)",Explicame como haces estaria saliendo tiempos cuarentena cuarentena tampoco,"['explicame', 'como', 'haces', 'estaria', 'saliendo', 'tiempos', 'cuarentena', 'cuarentena', 'tampoco']","['explicam', 'com', 'hac', 'estari', 'sal', 'tiemp', 'cuarenten', 'cuarenten', 'tampoc']"
2180,2180,2180,"[,]",2020-05-07 19:48:51+00:00,Señor presidente siga co la cuarentena estamos con usted  y lo felicitamos de que no quiere ver más  muertos uno de los abuelod,presidente siga cuarentena estamos usted felicitamos quiere muertos abuelod,"['presidente', 'siga', 'cuarentena', 'estamos', 'usted', 'felicitamos', 'quiere', 'muertos', 'abuelod']","['president', 'sig', 'cuarenten', 'estam', 'usted', 'felicit', 'quier', 'muert', 'abuelod']"
2250,2250,2250,"[,]",2020-05-07 19:52:16+00:00,Che pero ni en cuarentena deja de haber pajeros en la calle 🙄,pero cuarentena deja haber pajeros calle,"['pero', 'cuarentena', 'deja', 'haber', 'pajeros', 'calle']","['per', 'cuarenten', 'dej', 'hab', 'pajer', 'call']"
2341,2341,2341,"[,]",2020-05-07 19:57:37+00:00,Estoy de mal humor y mataría a cualquiera que se me cruce por el camino y ose vacilarme. Qué lástima que estamos en cuarentena 😏,Estoy humor matar cualquiera cruce camino vacilarme stima estamos cuarentena,"['estoy', 'humor', 'matar', 'cualquiera', 'cruce', 'camino', 'vacilarme', 'stima', 'estamos', 'cuarentena']","['estoy', 'humor', 'mat', 'cualqu', 'cruc', 'camin', 'vacil', 'stim', 'estam', 'cuarenten']"
2353,2353,2353,"[,]",2020-05-07 19:58:40+00:00,Quiero se vaya rápido este virus y  año 🙏🏻,Quiero vaya pido este virus,"['quiero', 'vaya', 'pido', 'este', 'virus']","['quier', 'vay', 'pid', 'este', 'virus']"
2385,2385,2385,"[,]",2020-05-07 20:00:37+00:00,Quien no salió de su casa y volvió porque se olvidó el barbijo en esta cuarentena?,Quien sali casa volvi porque olvid barbijo esta cuarentena,"['quien', 'sali', 'casa', 'volvi', 'porque', 'olvid', 'barbijo', 'esta', 'cuarentena']","['qui', 'sali', 'cas', 'volvi', 'porqu', 'olvid', 'barbij', 'esta', 'cuarenten']"
2422,2422,2422,"[,]",2020-05-07 20:02:21+00:00,@A24COM @Mauro_lpv Vietnam logro levantar la cuarentena sin muertos... Qué raro,Vietnam logro levantar cuarentena muertos raro,"['vietnam', 'logro', 'levantar', 'cuarentena', 'muertos', 'raro']","['vietnam', 'logr', 'levant', 'cuarenten', 'muert', 'rar']"
2446,2446,2446,"[,]",2020-05-07 20:03:27+00:00,@antisatanismo @Justicialista_ Y deja entrar al virus mamarracho.,deja entrar virus mamarracho,"['deja', 'entrar', 'virus', 'mamarracho']","['dej', 'entrar', 'virus', 'mamarrach']"
2490,2490,2490,"[,]",2020-05-07 20:05:45+00:00,Vivir solo y que se termine la cuarentena,Vivir solo termine cuarentena,"['vivir', 'solo', 'termine', 'cuarentena']","['viv', 'sol', 'termin', 'cuarenten']"
2574,2574,2574,"[,]",2020-05-07 20:10:10+00:00,los días así me hacen querer romper la cuarentena e ir al náutico y tirarme en el pasto,hacen querer romper cuarentena utico tirarme pasto,"['hacen', 'querer', 'romper', 'cuarentena', 'utico', 'tirarme', 'pasto']","['hac', 'quer', 'romp', 'cuarenten', 'utic', 'tir', 'past']"
2603,2603,2603,"[,]",2020-05-07 20:11:27+00:00,@LuuceroIglesias están pasando la cuarentena juntos así que(?,pasando cuarentena juntos,"['pasando', 'cuarentena', 'juntos']","['pas', 'cuarenten', 'junt']"
2701,2701,2701,"[,]",2020-05-07 20:15:38+00:00,"Flexibilizarian la cuarentena en Capital, y se habilitarian los paseos recreativos. QUE BIEN! No tengo ropa de abrigo para salir. QUE MAL!",Flexibilizarian cuarentena Capital habilitarian paseos recreativos BIEN tengo ropa abrigo para salir,"['flexibilizarian', 'cuarentena', 'capital', 'habilitarian', 'paseos', 'recreativos', 'bien', 'tengo', 'ropa', 'abrigo', 'para', 'salir']","['flexibilizari', 'cuarenten', 'capital', 'habilitari', 'pase', 'recreat', 'bien', 'teng', 'rop', 'abrig', 'par', 'sal']"
2712,2712,2712,"[,]",2020-05-07 20:15:58+00:00,"Bueno ia me volví a deprimir, esta cuarentena no ayuda en nada.",Bueno volv deprimir esta cuarentena ayuda nada,"['bueno', 'volv', 'deprimir', 'esta', 'cuarentena', 'ayuda', 'nada']","['buen', 'volv', 'deprim', 'esta', 'cuarenten', 'ayud', 'nad']"
2724,2724,2724,"[,]",2020-05-07 20:16:40+00:00,"Che, y después de la cuarentena volvemos al Auditorio Sur de Temperley? 🙏🏻",despu cuarentena volvemos Auditorio Temperley,"['despu', 'cuarentena', 'volvemos', 'auditorio', 'temperley']","['despu', 'cuarenten', 'volv', 'auditori', 'temperley']"
2904,2904,2904,"[,]",2020-05-07 20:25:52+00:00,@Virusplanista Yo no estaría tan confiada con ésta cuarentena estoy seguro que ocurrirán Muchos  casos de sangrados,estar confiada cuarentena estoy seguro ocurrir Muchos casos sangrados,"['estar', 'confiada', 'cuarentena', 'estoy', 'seguro', 'ocurrir', 'muchos', 'casos', 'sangrados']","['estar', 'confi', 'cuarenten', 'estoy', 'segur', 'ocurr', 'much', 'cas', 'sangr']"
2934,2934,2934,"[,]",2020-05-07 20:27:55+00:00,Día un millón de cuarentena: le estoy enseñando armar tabaco a la miriam,mill cuarentena estoy ense ando armar tabaco miriam,"['mill', 'cuarentena', 'estoy', 'ense', 'ando', 'armar', 'tabaco', 'miriam']","['mill', 'cuarenten', 'estoy', 'ense', 'ando', 'armar', 'tabac', 'miriam']"
2969,2969,2969,"[,]",2020-05-07 20:29:32+00:00,Q onda esa cuenta falsa q dice q rompí la cuarentena q ganas de romper las bola q tienen,onda cuenta falsa dice romp cuarentena ganas romper bola tienen,"['onda', 'cuenta', 'falsa', 'dice', 'romp', 'cuarentena', 'ganas', 'romper', 'bola', 'tienen']","['onda', 'cuent', 'fals', 'dic', 'romp', 'cuarenten', 'gan', 'romp', 'bol', 'tien']"
3031,3031,3031,"[,]",2020-05-07 20:32:17+00:00,@scr_78 Vos decis que el corona virus no la va a reconocer con ese antifaz ?,decis corona virus reconocer antifaz,"['decis', 'corona', 'virus', 'reconocer', 'antifaz']","['decis', 'coron', 'virus', 'reconoc', 'antifaz']"
3038,3038,3038,"[,]",2020-05-07 20:32:27+00:00,Lo mejor de la cuarentena son los bondis vacios 😜,mejor cuarentena bondis vacios,"['mejor', 'cuarentena', 'bondis', 'vacios']","['mejor', 'cuarenten', 'bondis', 'vaci']"
3072,3072,3072,"[,]",2020-05-07 20:37:19+00:00,día mil de cuarentena: sigo esperando la merienda de mi amiga @CarolRa54505313,cuarentena sigo esperando merienda amiga,"['cuarentena', 'sigo', 'esperando', 'merienda', 'amiga']","['cuarenten', 'sig', 'esper', 'meriend', 'amig']"
3084,3084,3084,"[,]",2020-05-07 20:37:55+00:00,"El día que arreglen con los bonistas, levantan el Aislamiento, Cuarentena o como quieran decirle.",arreglen bonistas levantan Aislamiento Cuarentena como quieran decirle,"['arreglen', 'bonistas', 'levantan', 'aislamiento', 'cuarentena', 'como', 'quieran', 'decirle']","['arregl', 'bonist', 'levant', 'aislamient', 'cuarenten', 'com', 'quier', 'dec']"
3273,3273,3273,"[,]",2020-05-07 20:48:53+00:00,Leí Luciano castro en TT y crei que había fotos de cuarentena  Siempre tan ilusa esperanzita,Luciano castro crei fotos cuarentena Siempre ilusa esperanzita,"['luciano', 'castro', 'crei', 'fotos', 'cuarentena', 'siempre', 'ilusa', 'esperanzita']","['lucian', 'castr', 'crei', 'fot', 'cuarenten', 'siempr', 'ilus', 'esperanzit']"
3381,3381,3381,"[,]",2020-05-07 20:54:52+00:00,@Miguel_Boggiano Lo único histórico es q deberías ir preso x exponer gente a un virus q mata.,nico hist rico deber preso exponer gente virus mata,"['nico', 'hist', 'rico', 'deber', 'preso', 'exponer', 'gente', 'virus', 'mata']","['nic', 'hist', 'ric', 'deb', 'pres', 'expon', 'gent', 'virus', 'mat']"
3390,3390,3390,"[,]",2020-05-07 20:55:13+00:00,¿como se ven pasando sus cumpleaños en cuarentena?????,como pasando cumplea cuarentena,"['como', 'pasando', 'cumplea', 'cuarentena']","['com', 'pas', 'cumple', 'cuarenten']"
3490,3490,3490,"[,]",2020-05-07 20:59:52+00:00,Cuando levantan esta cuarentena del ojete!!!!? Quiero una hamburguesa mierdaaaa,Cuando levantan esta cuarentena ojete Quiero hamburguesa mierdaaaa,"['cuando', 'levantan', 'esta', 'cuarentena', 'ojete', 'quiero', 'hamburguesa', 'mierdaaaa']","['cuand', 'levant', 'esta', 'cuarenten', 'ojet', 'quier', 'hamburgues', 'mierdaaa']"
3509,3509,3509,"[,]",2020-05-07 21:00:55+00:00,@MacaaWolenberg Cuando termine la cuarentena me tenes en misiones,Cuando termine cuarentena tenes misiones,"['cuando', 'termine', 'cuarentena', 'tenes', 'misiones']","['cuand', 'termin', 'cuarenten', 'ten', 'mision']"
3518,3518,3518,"[,]",2020-05-07 21:01:34+00:00,Mientras vos militas la cuarentena eterna entre un capítulo y otro de Netflix desde tu cama.,Mientras militas cuarentena eterna entre tulo otro Netflix desde cama,"['mientras', 'militas', 'cuarentena', 'eterna', 'entre', 'tulo', 'otro', 'netflix', 'desde', 'cama']","['mientr', 'milit', 'cuarenten', 'etern', 'entre', 'tul', 'otro', 'netflix', 'desd', 'cam']"
3536,3536,3536,"[,]",2020-05-07 21:02:35+00:00,Segun encuesta de Giacobbe de hace 3 días casi un 60% extendería la cuarentena hasta Junio . Insólito,Segun encuesta Giacobbe hace casi extender cuarentena hasta Junio lito,"['segun', 'encuesta', 'giacobbe', 'hace', 'casi', 'extender', 'cuarentena', 'hasta', 'junio', 'lito']","['segun', 'encuest', 'giacobb', 'hac', 'casi', 'extend', 'cuarenten', 'hast', 'juni', 'lit']"
3687,3687,3687,"[,]",2020-05-07 21:10:06+00:00,"La plata que gaste en fotocopias durante la cuarentena, la podría haber usado en joda y eso me pone mal.",plata gaste fotocopias durante cuarentena podr haber usado joda pone,"['plata', 'gaste', 'fotocopias', 'durante', 'cuarentena', 'podr', 'haber', 'usado', 'joda', 'pone']","['plat', 'gast', 'fotocopi', 'durant', 'cuarenten', 'podr', 'hab', 'usad', 'jod', 'pon']"
3771,3771,3771,"[,]",2020-05-07 21:44:39+00:00,@FiscalesGobAr cual es el debido proceder con los #7Mamertos que supuestamente en un rato van a romper con la cuarentena?,cual debido proceder Mamertos supuestamente rato romper cuarentena,"['cual', 'debido', 'proceder', 'mamertos', 'supuestamente', 'rato', 'romper', 'cuarentena']","['cual', 'deb', 'proced', 'mamert', 'supuest', 'rat', 'romp', 'cuarenten']"
3830,3830,3830,"[,]",2020-05-07 21:46:43+00:00,Cual es tu mayor miedo sobre la cuarentena? Lo que va a pasar cuando termine? Situación país? Salud? Viajes? Economía?,Cual mayor miedo sobre cuarentena pasar cuando termine Situaci Salud Viajes Econom,"['cual', 'mayor', 'miedo', 'sobre', 'cuarentena', 'pasar', 'cuando', 'termine', 'situaci', 'salud', 'viajes', 'econom']","['cual', 'mayor', 'mied', 'sobr', 'cuarenten', 'pas', 'cuand', 'termin', 'situaci', 'salud', 'viaj', 'econom']"
3853,3853,3853,"[,]",2020-05-07 21:47:40+00:00,En este país de pelotudos (me incluyo) nos merecemos estar en cuarentena hasta entrar en primavera,este pelotudos incluyo merecemos estar cuarentena hasta entrar primavera,"['este', 'pelotudos', 'incluyo', 'merecemos', 'estar', 'cuarentena', 'hasta', 'entrar', 'primavera']","['este', 'pelotud', 'inclu', 'merec', 'estar', 'cuarenten', 'hast', 'entrar', 'primaver']"
3867,3867,3867,"[,]",2020-05-07 21:48:12+00:00,"Hacer home office con el trabajo , estar con mi hija y mi novio , dichosa cuarentena , y agradecida",Hacer home office trabajo estar hija novio dichosa cuarentena agradecida,"['hacer', 'home', 'office', 'trabajo', 'estar', 'hija', 'novio', 'dichosa', 'cuarentena', 'agradecida']","['hac', 'hom', 'offic', 'trabaj', 'estar', 'hij', 'novi', 'dichos', 'cuarenten', 'agradec']"
3890,3890,3890,"[,]",2020-05-07 21:49:09+00:00,"Si yo rompi la cuarentena, a vos te rompieron el culo JAJAJAJAAAJAJJAAJAAJAJ ESO DIJO MI PAPÁ SEÑORAS Y SEÑORES.",rompi cuarentena rompieron culo JAJAJAJAAAJAJJAAJAAJAJ DIJO ORAS ORES,"['rompi', 'cuarentena', 'rompieron', 'culo', 'jajajajaaajajjaajaajaj', 'dijo', 'oras', 'ores']","['rompi', 'cuarenten', 'romp', 'cul', 'jajajajaaajajjaajaajaj', 'dij', 'oras', 'ores']"
3965,3965,3965,"[,]",2020-05-07 21:51:46+00:00,Hoy fui dos veces al centro de Varela y mamita que de gente que había. Por un momento creo que la cuarentena ya había terminado🙄,veces centro Varela mamita gente momento creo cuarentena terminado,"['veces', 'centro', 'varela', 'mamita', 'gente', 'momento', 'creo', 'cuarentena', 'terminado']","['vec', 'centr', 'varel', 'mamit', 'gent', 'moment', 'cre', 'cuarenten', 'termin']"
3973,3973,3973,"[,]",2020-05-07 21:52:05+00:00,Hoy fui dos veces al centro de Varela y mamita que de gente que había. Por un momento creí que la cuarentena ya había terminado🙄,veces centro Varela mamita gente momento cuarentena terminado,"['veces', 'centro', 'varela', 'mamita', 'gente', 'momento', 'cuarentena', 'terminado']","['vec', 'centr', 'varel', 'mamit', 'gent', 'moment', 'cuarenten', 'termin']"
3990,3990,3990,"[,]",2020-05-07 21:52:43+00:00,@DulciMail @LeiAisen Digamos que cada uno por su cuenta ya flexibilizó la cuarentena,Digamos cada cuenta flexibiliz cuarentena,"['digamos', 'cada', 'cuenta', 'flexibiliz', 'cuarentena']","['dig', 'cad', 'cuent', 'flexibiliz', 'cuarenten']"
4085,4085,4085,"[,]",2020-05-07 21:56:41+00:00,@Mauriisellann08 Mañanaaaa sale Fernando con los gurice vamos a hacer algo qcyo pa romper la cuarentena más de una vez jajajajajaja,anaaaa sale Fernando gurice vamos hacer algo qcyo romper cuarentena jajajajajaja,"['anaaaa', 'sale', 'fernando', 'gurice', 'vamos', 'hacer', 'algo', 'qcyo', 'romper', 'cuarentena', 'jajajajajaja']","['anaaa', 'sal', 'fern', 'guric', 'vam', 'hac', 'algo', 'qcyo', 'romp', 'cuarenten', 'jajajajajaj']"
4102,4102,4102,"[,]",2020-05-07 21:57:23+00:00,"Soy fan de las influencers que dicen ""con la cuarentena aprendí a hacer pedidos online!!"", cuando todos sus canjes son online claramente",influencers dicen cuarentena aprend hacer pedidos online cuando todos canjes online claramente,"['influencers', 'dicen', 'cuarentena', 'aprend', 'hacer', 'pedidos', 'online', 'cuando', 'todos', 'canjes', 'online', 'claramente']","['influencers', 'dic', 'cuarenten', 'aprend', 'hac', 'ped', 'onlin', 'cuand', 'tod', 'canj', 'onlin', 'clar']"
4127,4127,4127,"[,]",2020-05-07 21:58:13+00:00,La cuarentena ha sacado mi lado fotógrafo 😅📸,cuarentena sacado lado grafo,"['cuarentena', 'sacado', 'lado', 'grafo']","['cuarenten', 'sac', 'lad', 'graf']"
4136,4136,4136,"[,]",2020-05-07 21:58:33+00:00,@noeruscitto Uy... no se hace eso de caer sin avisar y menos en cuarentena 🤦🏻‍♀️,hace caer avisar menos cuarentena,"['hace', 'caer', 'avisar', 'menos', 'cuarentena']","['hac', 'caer', 'avis', 'men', 'cuarenten']"
4150,4150,4150,"[,]",2020-05-07 21:58:57+00:00,Si estos tarados se enteran que Larreta es el que menos quiere saber sobre levantar la cuarentena se caen de culo.,estos tarados enteran Larreta menos quiere saber sobre levantar cuarentena caen culo,"['estos', 'tarados', 'enteran', 'larreta', 'menos', 'quiere', 'saber', 'sobre', 'levantar', 'cuarentena', 'caen', 'culo']","['estos', 'tar', 'enter', 'larret', 'men', 'quier', 'sab', 'sobr', 'levant', 'cuarenten', 'caen', 'cul']"
